,1080Lines,1400Ripples,Air_Compressor,Blip,Blip_Low_Frequency,Chirp,Extremely_Loud,Fast_Scattering,Helix,Koi_Fish,Light_Modulation,Low_Frequency_Burst,Low_Frequency_Lines,No_Glitch,None_of_the_Above,Paired_Doves,Power_Line,Repeating_Blips,Scattered_Light,Scratchy,Tomte,Violin_Mode,Wandering_Line,Whistle
Light_Modulation,0.0,0.0,0.0,0.01,0.0,0.0,0.32,0.155,0.0,0.395,0.015,0.025,0.01,0.0,0.0,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.005
Low_Frequency_Burst,0.0,0.001387443635102324,0.0,0.000346860908775581,0.0,0.0,0.00693721817551162,0.03520638224072147,0.0,0.0012140131807145335,0.0,0.9060006937218176,0.027055150884495317,0.007457509538674991,0.0,0.0,0.0,0.0,0.011793270898369753,0.0,0.001040582726326743,0.0,0.0,0.0015608740894901144
Low_Frequency_Lines,0.0,0.00025157232704402514,0.00025157232704402514,0.0,0.0,0.0,0.0,0.14943396226415095,0.0,0.0005031446540880503,0.00025157232704402514,0.0709433962264151,0.4520754716981132,0.010062893081761006,0.0,0.0,0.0,0.0,0.3142138364779874,0.0,0.00025157232704402514,0.0,0.0,0.001761006289308176
No_Glitch,0.0013287775246772968,0.1556567957479119,0.010060744115413819,0.00721336370539104,0.004745634016704632,0.0,0.003986332574031891,0.03834472285497342,0.0,0.006264236902050114,0.0,0.03986332574031891,0.013857251328777525,0.5738420652999241,0.0,0.0,0.022399392558845863,0.00018982536066818528,0.026765375854214124,0.002277904328018223,0.011199696279422931,0.0018982536066818527,0.0,0.08010630220197418
None_of_the_Above,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Paired_Doves,0.0,0.0010235414534288639,0.03480040941658137,0.0010235414534288639,0.0030706243602865915,0.0,0.0,0.6939611054247697,0.0,0.06345957011258956,0.0,0.0020470829068577278,0.05834186284544524,0.01330603889457523,0.0,0.0,0.0,0.0,0.009211873080859774,0.0,0.11668372569089049,0.0020470829068577278,0.0,0.0010235414534288639
Power_Line,0.0,0.0,0.05241935483870968,0.0,0.024193548387096774,0.0,0.004032258064516129,0.028225806451612902,0.0,0.0,0.0,0.0,0.0,0.2721774193548387,0.0,0.0,0.6028225806451613,0.0,0.014112903225806451,0.0,0.0,0.0020161290322580645,0.0,0.0
Repeating_Blips,0.0,0.001379310344827586,0.012413793103448275,0.35172413793103446,0.15172413793103448,0.0,0.0,0.034482758620689655,0.0,0.3406896551724138,0.0,0.0,0.0,0.019310344827586208,0.0,0.0,0.006896551724137931,0.004137931034482759,0.0,0.0,0.05379310344827586,0.004137931034482759,0.0,0.019310344827586208
Scattered_Light,0.0,3.6367603738589666e-05,0.000327308433647307,0.0,0.0,0.0,0.00036367603738589663,0.013310542968323817,0.0,0.000109102811215769,0.0,0.0010182929046805107,0.003454922355166018,0.002291159035531149,0.0,0.0,0.000109102811215769,0.0,0.9785067461904935,0.0,0.000327308433647307,0.0,0.0,0.00014547041495435866
Scratchy,0.0,0.007462686567164179,0.0037313432835820895,0.041044776119402986,0.06716417910447761,0.0,0.04477611940298507,0.026119402985074626,0.0,0.06716417910447761,0.0,0.0,0.0,0.5708955223880597,0.0,0.0,0.018656716417910446,0.0,0.011194029850746268,0.1044776119402985,0.018656716417910446,0.0037313432835820895,0.0,0.014925373134328358
Tomte,0.0,0.0,0.0,0.0009325748391308403,0.024713233236967266,0.0,0.0,0.06397463396437564,0.0,0.02993565233609997,0.0,0.0,0.0,0.0003730299356523361,0.0,0.0,9.325748391308402e-05,0.0,0.0,9.325748391308402e-05,0.8798843607199478,0.0,0.0,0.0
Violin_Mode,0.012965964343598054,0.08103727714748785,0.017828200972447326,0.019448946515397084,0.0016207455429497568,0.0,0.0032414910858995136,0.024311183144246355,0.0,0.012965964343598054,0.0,0.0,0.0016207455429497568,0.24473257698541329,0.0,0.0,0.006482982171799027,0.0,0.0713128038897893,0.004862236628849271,0.012965964343598054,0.05348460291734198,0.0,0.43111831442463533
Wandering_Line,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.043478260869565216,0.8260869565217391
Whistle,0.02318435754189944,0.019273743016759777,0.0,0.044134078212290505,0.0005586592178770949,0.0,0.0008379888268156424,0.0011173184357541898,0.0,0.006424581005586592,0.0,0.0,0.0011173184357541898,0.037430167597765365,0.0,0.0,0.0011173184357541898,0.0,0.0025139664804469273,0.0016759776536312849,0.0,0.004469273743016759,0.0,0.8561452513966481
